mensagem,categoria,sinonimo,idioma,continente,pais,estado,cidade,latitude,longitude,impacto
"Alerta: seca em São Paulo, Brasil.",seca,seca,pt,América do Sul,Brasil,São Paulo,São Paulo,-23.55052,-46.63331,catastrófico
"Alerta: seca em Recife, Brasil.",seca,seca,pt,América do Sul,Brasil,Pernambuco,Recife,-8.04756,-34.877,baixo
"Alerta: seca em Barranquilla, Colômbia.",seca,seca,pt,América do Sul,Colômbia,Atlántico,Barranquilla,10.96854,-74.78132,alto
"Alerta: seca em Buenos Aires, Argentina.",seca,seca,pt,América do Sul,Argentina,Buenos Aires,Buenos Aires,-34.60372,-58.38159,catastrófico
"Alerta: seca em Santiago, Chile.",seca,seca,pt,América do Sul,Chile,Região Metropolitana,Santiago,-33.44889,-70.66927,alto
"Alerta: seca em Los Angeles, Estados Unidos.",seca,seca,pt,América do Norte,Estados Unidos,Califórnia,Los Angeles,34.05223,-118.24368,baixo
"Alerta: seca em Phoenix, Estados Unidos.",seca,seca,pt,América do Norte,Estados Unidos,Arizona,Phoenix,33.44838,-112.07404,catastrófico
"Alerta: seca em Monterrey, México.",seca,seca,pt,América do Norte,México,Nuevo León,Monterrey,25.68661,-100.31612,alto
"Alerta: seca em Toronto, Canadá.",seca,seca,pt,América do Norte,Canadá,Ontário,Toronto,43.65107,-79.347015,baixo
"Alerta: seca em Houston, Estados Unidos.",seca,seca,pt,América do Norte,Estados Unidos,Texas,Houston,29.76043,-95.3698,catastrófico
"Alerta: seca em Marselha, França.",seca,seca,pt,Europa,França,Provence-Alpes-Côte d'Azur,Marselha,43.29648,5.36978,catastrófico
"Alerta: seca em Nice, França.",seca,seca,pt,Europa,França,Provence-Alpes-Côte d'Azur,Nice,43.71017,7.26195,catastrófico
"Alerta: seca em Saint-Denis, Reunião.",seca,seca,pt,Europa,Reunião,Reunião,Saint-Denis,-20.87891,55.44813,alto
"Alerta: seca em La Palma (Cumbre Vieja), Espanha.",seca,seca,pt,Europa,Espanha,Ilhas Canárias,La Palma (Cumbre Vieja),28.57,-17.84,catastrófico
"Alerta: seca em Londres, Reino Unido.",seca,seca,pt,Europa,Reino Unido,Inglaterra,Londres,51.50735,-0.127758,alto
