1747582339584	geckodriver	INFO	Listening on 127.0.0.1:4444
1747582339604	webdriver::server	TRACE	Build standard route for /status
1747582339605	webdriver::server	TRACE	Build standard route for /session
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}/url
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}/url
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}/back
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}/forward
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}/refresh
1747582339605	webdriver::server	TRACE	Build standard route for /session/{sessionId}/title
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/source
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/handles
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/new
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/size
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/size
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/position
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/position
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/rect
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/rect
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/minimize
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/maximize
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/fullscreen
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/frame
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/frame/parent
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/element
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/elements
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/elements
1747582339606	webdriver::server	TRACE	Build standard route for /session/{sessionId}/shadow/{shadowId}/element
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/shadow/{shadowId}/elements
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/active
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/shadow
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/displayed
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/selected
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/attribute/{name}
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/property/{name}
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/css/{propertyName}
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/text
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/computedlabel
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/computedrole
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/name
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/rect
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/enabled
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/execute/sync
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/execute/async
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/cookie
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/cookie/{name}
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/cookie
1747582339607	webdriver::server	TRACE	Build standard route for /session/{sessionId}/cookie
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/cookie/{name}
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/timeouts
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/timeouts
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/click
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/clear
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/value
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/alert/dismiss
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/alert/accept
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/alert/text
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/alert/text
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/screenshot
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/screenshot
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/actions
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/actions
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/permissions
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/print
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator/{authenticatorId}
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator/{authenticatorId}/credential
1747582339608	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator/{authenticatorId}/credentials
1747582339609	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator/{authenticatorId}/credentials/{credentialId}
1747582339609	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator/{authenticatorId}/credentials
1747582339609	webdriver::server	TRACE	Build standard route for /session/{sessionId}/webauthn/authenticator/{authenticatorId}/uv
1747582339609	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/context
1747582339609	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/context
1747582339609	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/addon/install
1747582339609	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/addon/uninstall
1747582339609	webdriver::server	TRACE	Build vendor route for /session/{sessionId}/moz/screenshot/full
1747582339807	webdriver::server	DEBUG	-> GET /status 
1747582339816	webdriver::server	DEBUG	<- 200 OK {"value":{"message":"","ready":true}}
1747582339977	webdriver::server	DEBUG	-> POST /session {"capabilities":{"firstMatch":[{}],"alwaysMatch":{"browserName":"firefox","moz:firefoxOptions":{"prefs":{"re ... ive-protocols":3},"binary":"/Users/strangebrick/.cache/selenium/firefox/mac64/138.0.4/Firefox.app/Contents/MacOS/firefox"}}}}
1747582339988	geckodriver::capabilities	DEBUG	Trying to read firefox version from ini files
1747582340043	geckodriver::capabilities	DEBUG	Found version 138.0.4
