1747572508171	geckodriver	INFO	Listening on 127.0.0.1:4444
1747572508179	webdriver::server	TRACE	Build standard route for /status
1747572508181	webdriver::server	TRACE	Build standard route for /session
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/url
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/url
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/back
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/forward
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/refresh
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/title
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/source
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/handles
1747572508181	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/new
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/size
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/size
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/position
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/position
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/rect
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/rect
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/minimize
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/maximize
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window/fullscreen
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/window
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/frame
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/frame/parent
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/element
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/elements
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/elements
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/shadow/{shadowId}/element
1747572508182	webdriver::server	TRACE	Build standard route for /session/{sessionId}/shadow/{shadowId}/elements
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/active
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/shadow
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/displayed
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/selected
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/attribute/{name}
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/property/{name}
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/css/{propertyName}
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/text
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/computedlabel
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/computedrole
1747572508183	webdriver::server	TRACE	Build standard route for /session/{sessionId}/element/{elementId}/name
